QueryName,WeeklySales_USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SourceData,SalesView_Updated2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Server,Abacus_Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,21.31.312.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config Mode,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Date,January 1st 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Time,4:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,XXRP-SYSTEMEXTRACT-ADMIN-20200101-WEEKLYSALES_USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Store,Cat,Ref1,06/01/2020 00:00,13/01/2020 00:00,20/01/2020 00:00,27/01/2020 00:00,03/02/2020 00:00,10/02/2020 00:00,17/02/2020 00:00,24/02/2020 00:00,03/03/2020 00:00,10/03/2020 00:00,17/03/2020 00:00,24/03/2020 00:00,31/03/2020 00:00,07/04/2020 00:00,14/04/2020 00:00,21/04/2020 00:00,28/04/2020 00:00,05/05/2020 00:00,12/05/2020 00:00,19/05/2020 00:00,26/05/2020 00:00,02/06/2020 00:00,09/06/2020 00:00,16/06/2020 00:00,23/06/2020 00:00,30/06/2020 00:00,07/07/2020 00:00,14/07/2020 00:00,21/07/2020 00:00,28/07/2020 00:00,04/08/2020 00:00,11/08/2020 00:00,18/08/2020 00:00,25/08/2020 00:00,01/09/2020 00:00,08/09/2020 00:00,15/09/2020 00:00,22/09/2020 00:00,29/09/2020 00:00,06/10/2020 00:00,13/10/2020 00:00,20/10/2020 00:00,27/10/2020 00:00,03/11/2020 00:00,10/11/2020 00:00,17/11/2020 00:00,24/11/2020 00:00,01/12/2020 00:00,08/12/2020 00:00,15/12/2020 00:00,22/12/2020 00:00,29/12/2020 00:00
Sales,1,1,11XXRP,24924.5,46039.49,41595.55,19403.54,21827.9,21043.39,22136.64,26229.21,57258.43,42960.91,17596.96,16145.35,16555.11,17413.94,18926.74,14773.04,15580.43,17558.09,16637.62,16216.27,16328.72,16333.14,17688.76,17150.84,15360.45,15381.82,17508.41,15536.4,15740.13,15793.87,16241.78,18194.74,19354.23,18122.52,20094.19,23388.03,26978.34,25543.04,38640.93,34238.88,19549.39,19552.84,18820.29,22517.56,31497.65,44912.86,55931.23,19124.58,15984.24,17359.7,17341.47,18461.18
,1,2,12XXRP,50605.27,44682.74,47928.89,44292.87,48397.98,43751.94,43615.49,41892.55,47450.5,46549.73,45025.02,44418.11,45971.3,47903.01,43675.61,44319.15,44619.52,48754.47,47089.54,44428.71,45299.92,47077.72,46752.12,44339.2,44763.33,45833.77,50031.73,45475.69,49754.17,49623.53,49015.05,45182.5,44681.64,42477.49,45829.02,46387.54,43110.79,42371.48,44081.33,46381.43,43194.49,41443.25,45681.98,44405.02,46955.82,49303.28,59889.32,35819.83,43202.29,39857.4,41596.99,41651.01
,1,3,13XXRP,13740.12,10887.84,11523.47,11135.17,12275.58,10123.45,9001.37,10366.85,11157.08,10179.29,9226.8,8868.93,9337.44,9372.8,7919.86,7813.91,8412.69,8001.41,7742.75,8201.06,6591.22,7857.88,8112.67,13751.3,16930.62,20915.95,26719.02,30640.54,41101.93,51159.17,19081.8,12134.69,10722.46,8097.92,9775.17,10081.8,9735.73,8614.41,9283.09,9825.22,9146.77,9202.11,10706.81,10856.85,11219.78,11986.84,12080.36,8266.14,15808.15,13275.87,12532.94,11983.34
,1,4,14XXRP,39954.04,35351.21,36826.95,34660.16,38086.19,32668.67,34118.11,33872.07,37809.49,36174.43,34740.19,33806.71,33437.8,37168.34,33657.7,35571.47,36380.36,40548.19,36579.96,35059.52,34454.69,39773.71,39781.45,35234.66,36624.71,36419.68,40973.88,36461.66,39706.1,36404.6,38321.88,36603.78,33999.01,32497.43,34912.45,35772.82,34693.27,32902.26,35202.44,37980.55,35008.03,37078.61,46201.27,37110.55,36364.31,39154.41,47893.23,36913.8,37947.8,34393.95,33735.58,32905.88
,1,5,15XXRP,32229.38,29620.81,26468.27,24101.89,23082.14,21498.92,22632.57,38971.89,29967.92,18516.45,11570.27,24763.98,22006.41,19260.44,16891.66,16157.17,15784.6,22932.26,21817.36,19778.44,19054.58,18887.71,20249.54,17918.22,17313.46,16472.48,16926.17,15544.62,15412.44,13570.32,15390.52,17776.56,15862.61,17039.38,23381.38,19853.57,20443.05,19525.85,16377.46,23903.81,23698.89,24716.49,70158.86,36472.02,49517.17,59589.48,85676.09,32280.82,22699.69,17445.37,18438.07,22118.7
,1,6,16XXRP,5749.03,9135,6060.26,5244.56,4221.25,5619,4906.05,7468.33,4132.61,4428.8,5020.78,3945.19,4736.15,7477.7,6982.17,3395.75,6165.59,5484.9,4082.04,3902.26,4239.1,4541.91,4986.25,4772.7,5758.04,3932.95,4700.38,3885.01,4067.35,3389.29,3553.75,4432.69,4492.88,4601.39,2876.19,4168.36,5024.04,4291.27,5424.27,5036.99,4248.34,3507.65,20163.69,6356.96,6440.06,12078.11,28497.52,5878.25,1376.15,2355.86,2163.84,3200.68
,1,7,17XXRP,21084.08,18310.31,19985.2,17224.22,19659.7,21529.14,22711.59,16254.21,22427.62,20516.64,19330.26,18534.4,22723.48,20457.62,18771.35,28726.86,36911.59,44563.68,26910.46,26984.25,28912.18,22589,22767.34,22666.55,20029.1,17709.46,21842.57,19178.36,17821.71,16309.44,18005.65,20824.49,17397.01,18227.39,16481.79,16350.96,16296.65,15395.27,17598.98,19136.58,21019.7,24313.72,72635.06,47406.83,63896.89,96198.12,166697.72,27433.06,17516.16,10774.06,12657.33,13957.4
,1,8,18XXRP,40129.01,37334.83,38717.6,35318.2,38776.09,34342.64,34188.52,33581.72,38151.58,34145.96,32890.54,32946.13,34168.23,35393.78,33131.69,34442.73,35046.1,35181.47,34036.53,33387.48,33731.24,35580.01,34721.25,33171.72,34350.12,33568.19,34833.35,32326.19,32249.35,31272.68,35562.68,32737.89,33762.32,31381.97,34658.25,35966.67,33747.68,32659.74,34917.77,36182.58,35527.64,35759.26,34099.53,36222.74,35188.54,36961.11,41864,32751.73,36599.46,34228.3,34547.4,35110.75
,1,9,19XXRP,16930.99,16562.49,15880.85,15175.52,24064.7,25605.58,33367.99,27897.97,25435.02,26113.67,28782.86,24664.06,24035.42,27588.34,25385.09,27798.19,29811.88,36317.39,26789.3,24934.43,24514.39,21032.55,27298.6,19092.63,19079.5,18959.82,19224.82,18684.26,21062.68,19860.51,39639.39,40143.87,28481.77,27585.27,44977.91,35836.59,32288.91,30302.47,31330.47,48794.36,37167.49,27561.57,44504.17,21979.41,26639.65,28716.62,47275.64,22884.84,16131.88,13215.27,11355.87,13213.73
,1,10,110XXRP,30721.5,31494.77,29634.13,27921.96,33299.27,28208,33731.81,31406.96,31794.04,32486.28,32134.61,29091.15,30666.59,32902.69,26568.32,26197.6,30894.79,34227.73,28149.18,32177.66,31667.6,29779.96,33138.28,31341.38,30078.61,29613.51,35078.09,31271.9,34848.72,31692.56,33457.07,32256.12,29212.99,29097.1,29764.24,30734.05,30847.4,26805.78,25464.1,31543.83,26288.47,26066.48,31090.69,26558.42,28569.66,28609,31325.61,25764.32,24500.27,23058.41,23852.51,26223.02
,1,11,111XXRP,24213.18,21760.75,18706.21,17306.61,19082.9,17864.32,19738.42,17592.13,21762.46,22186.81,19991.95,17349.9,20001.75,28928.31,23301.17,27266.41,28393.85,36263.69,26806.72,34807.01,39460.59,26880.74,27604.86,27781.28,28115.79,26789.66,37289.02,30250.16,31789.86,21282.09,17303.3,16107.93,16553.48,16215.81,16227.08,19605.53,17361.19,16165.56,18038.28,25063.26,21880.47,23243.67,30865.64,29564.78,27581.07,28597.5,32696.55,22443.1,22496.85,33958.52,20886.48,20041.24
,1,12,112XXRP,8449.54,8654.07,9165.98,9015.37,10239.06,12386.15,12917.55,11865.53,12033.5,10109,11187.99,11556.42,10651.84,12761.39,9540.54,12235.62,11876.34,13358.92,10889.4,11629.41,10562.29,10720.79,11287.52,10239.51,11743.8,11634.37,12887.52,13294,10119.6,9844.07,11239.43,10724.56,9974.03,9705.47,9759.85,11883.66,11031.93,11604.42,9128.2,9345.99,11313.89,7984.58,9619.81,7943.22,7204.15,7231.92,7324.7,6912.95,8022.82,6639.08,6605.12,7786.87
,1,13,113XXRP,41969.29,36476.4,37857.68,37467.32,40423.95,35833.07,36807.21,35431.73,38104.53,37638.44,36663.26,36058.1,36717.2,40113.4,36499.93,38569.83,38347.52,41388.81,39657.1,39165.29,38697.24,41214.94,41056.4,40150,40552.37,38018.99,42038.03,37869.12,41509.62,41175.86,44863.15,39525.93,38416.22,37293.43,40474.22,42139.25,38749.62,34712.4,37762.12,41085.66,36817.35,38446.26,38371.99,36170.88,34749.11,35237.93,37099.47,34081.52,39764.56,33668.55,35961.99,36321.69
,1,14,114XXRP,19466.91,18129.02,17491.36,16118.26,18268.78,15331.75,12738.78,12832.47,14333.75,12874.07,12309.14,12749.37,12172.32,14460.84,14678.22,11480.15,12218.11,14491.35,13516.74,12693.5,12979.99,13494.79,15032.03,13550.19,11945.81,12421.92,14404.15,13579.21,13260.23,13387.21,13995.39,12884.22,13783.27,11847.72,12943.86,12108.86,13215.64,11895.44,11955.77,14092.03,13837.16,19788.98,38256.98,17685.93,19587.66,28642.28,47983.72,21835.25,17744.78,13608.44,12889.88,11687.25
,1,16,116XXRP,10217.55,11873.89,13855.54,12881.02,17129.81,23766.82,41742.21,26679.52,46060.69,52976.67,59543.22,51604.72,48858.08,52933.2,44148.02,38638.64,45861.03,47485.63,31807.72,34603.43,34121.08,32420.4,35796.64,29763.52,24642.3,22017.61,24218.72,23288.59,22837.21,19682.2,22888.26,22643.73,17672.01,14857.74,16248.15,11501.93,11526.6,8194.25,7683.76,6063.75,7370.53,5276.21,9225.41,4716.26,4919.99,5513.25,8612.24,4987.81,5324.47,5725.63,4594.95,6365.91
