StoreID,StoreSize
16,57197sqft
7,70713sqft
17,93188sqft
29,93638sqft
35,103681sqft
12,112238sqft
23,114533sqft
22,119557sqft
18,120653sqft
15,123737sqft
9,125833sqft
10,126512sqft
25,128107sqft
21,140167sqft
1,151315sqft
26,152513sqft
8,155078sqft
40,155083sqft
34,158114sqft
39,184109sqft
14,200898sqft
2,202307sqft
6,202505sqft
32,203007sqft
20,203742sqft
31,203750sqft
19,203819sqft
24,203819sqft
27,204184sqft
4,205863sqft
28,206302sqft
11,207499sqft
13,219622sqft
5,34875sqft
3,37392sqft
33,39690sqft
38,39690sqft
36,39910sqft
37,39910sqft
30,42988sqft
